File ID,Renamed Markdown filename,File title,WordPress page title,Planned WordPress slug,Raw Markdown filename,Raw Markdown URL,Publication status,Legacy page replaced,Archive pointer,Notes,Current internal version
File_00,File_00.Repository_Foundation_Axiom_Engine_Source_Map.md,"Repository Foundation, Axiom Engine, and Source Map","Repository Foundation, Axiom Engine, and Source Map",/file-00-repository-foundation-axiom-engine-source-map/,File_00.Repository_Foundation_Axiom_Engine_Source_Map.md,https://490d.com/source/490d-unified-chronology/File_00.Repository_Foundation_Axiom_Engine_Source_Map.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_01,File_01.Abraham_Gen20_Fractal_Pivot.md,Abraham — Patriarch Generation 20 and the Fractal Pivot,Abraham — Patriarch Generation 20 and the Fractal Pivot,/file-01-abraham-gen20-fractal-pivot/,File_01.Abraham_Gen20_Fractal_Pivot.md,https://490d.com/source/490d-unified-chronology/File_01.Abraham_Gen20_Fractal_Pivot.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_02,File_02.Flood_Sumerian_Integration.md,The Flood and Sumerian Integration,The Flood and Sumerian Integration,/file-02-flood-sumerian-integration/,File_02.Flood_Sumerian_Integration.md,https://490d.com/source/490d-unified-chronology/File_02.Flood_Sumerian_Integration.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_03,File_03.Joseph_Entity_Chronology.md,Entity: JOSEPH,Entity: JOSEPH,/file-03-joseph-entity-chronology/,File_03.Joseph_Entity_Chronology.md,https://490d.com/source/490d-unified-chronology/File_03.Joseph_Entity_Chronology.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_04,File_04.Jacob_Jubilee_Standard_LXX_33_397_Sojourn.md,Jacob as Jubilee Standard and the LXX 33 + 397 Sojourn Interpretation,Jacob as Jubilee Standard and the LXX 33 + 397 Sojourn Interpretation,/file-04-jacob-jubilee-standard-lxx-33-397-sojourn/,File_04.Jacob_Jubilee_Standard_LXX_33_397_Sojourn.md,https://490d.com/source/490d-unified-chronology/File_04.Jacob_Jubilee_Standard_LXX_33_397_Sojourn.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_05,File_05.Exodus_Target_Fulcrum_Anchor.md,The Exodus as Target and Fulcrum Anchor,The Exodus as Target and Fulcrum Anchor,/file-05-exodus-target-fulcrum-anchor/,File_05.Exodus_Target_Fulcrum_Anchor.md,https://490d.com/source/490d-unified-chronology/File_05.Exodus_Target_Fulcrum_Anchor.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_06,File_06.Judges_Bridge.md,The Judges Bridge,The Judges Bridge,/file-06-judges-bridge/,File_06.Judges_Bridge.md,https://490d.com/source/490d-unified-chronology/File_06.Judges_Bridge.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_07,File_07.Creation_Seed_Decimal_Root.md,Creation — The Seed and Decimal Root,Creation — The Seed and Decimal Root,/file-07-creation-seed-decimal-root/,File_07.Creation_Seed_Decimal_Root.md,https://490d.com/source/490d-unified-chronology/File_07.Creation_Seed_Decimal_Root.md,Raw Markdown linked,TBD,Repository_Change_Archive,"Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live. File_56 SP Day-4 phase-anchor cross-file amendment applied to §1, July 2026; focused pressure test pending.",Final; see in-file Status line
File_08,File_08.Kings_Resolution.md,The Kings — The Resolution,The Kings — The Resolution,/file-08-kings-resolution/,File_08.Kings_Resolution.md,https://490d.com/source/490d-unified-chronology/File_08.Kings_Resolution.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_09,File_09.Cumulative_Architecture.md,Cumulative Architecture,Cumulative Architecture,/file-09-cumulative-architecture/,File_09.Cumulative_Architecture.md,https://490d.com/source/490d-unified-chronology/File_09.Cumulative_Architecture.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_10,File_10.External_Validation_SKL.md,External Validation — SKL,External Validation — SKL,/file-10-external-validation-skl/,File_10.External_Validation_SKL.md,https://490d.com/source/490d-unified-chronology/File_10.External_Validation_SKL.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_11,File_11.Three_Gear_Protocol_Harmonic_Engine.md,The Three-Gear Protocol and Harmonic Engine,The Three-Gear Protocol and Harmonic Engine,/file-11-three-gear-protocol-harmonic-engine/,File_11.Three_Gear_Protocol_Harmonic_Engine.md,https://490d.com/source/490d-unified-chronology/File_11.Three_Gear_Protocol_Harmonic_Engine.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_12,File_12.Calendrical_Physics.md,Calendrical Physics,Calendrical Physics,/file-12-calendrical-physics/,File_12.Calendrical_Physics.md,https://490d.com/source/490d-unified-chronology/File_12.Calendrical_Physics.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live. File_56 bibliography-vector amendment (Jaubert; divided-witness note) applied July 2026; focused pressure test pending.,Final; see in-file Status line
File_13,File_13.Christological_Matrix.md,Christological Matrix,Christological Matrix,/file-13-christological-matrix/,File_13.Christological_Matrix.md,https://490d.com/source/490d-unified-chronology/File_13.Christological_Matrix.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_14,File_14.Biological_Numerical_Fractals.md,Biological and Numerical Fractals,Biological and Numerical Fractals,/file-14-biological-numerical-fractals/,File_14.Biological_Numerical_Fractals.md,https://490d.com/source/490d-unified-chronology/File_14.Biological_Numerical_Fractals.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_15,File_15.Generational_Axiom.md,The Generational Axiom,The Generational Axiom,/file-15-generational-axiom/,File_15.Generational_Axiom.md,https://490d.com/source/490d-unified-chronology/File_15.Generational_Axiom.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_16,File_16.1876_BC_Nexus.md,The 1876 BC Nexus,The 1876 BC Nexus,/file-16-1876-bc-nexus/,File_16.1876_BC_Nexus.md,https://490d.com/source/490d-unified-chronology/File_16.1876_BC_Nexus.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_17,File_17.Prophetic_Time_Span_Anatomy.md,Prophetic Time Span Anatomy,Prophetic Time Span Anatomy,/file-17-prophetic-time-span-anatomy/,File_17.Prophetic_Time_Span_Anatomy.md,https://490d.com/source/490d-unified-chronology/File_17.Prophetic_Time_Span_Anatomy.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_18,File_18.Chronological_Data_Tables.md,Chronological Data Tables,Chronological Data Tables,/file-18-chronological-data-tables/,File_18.Chronological_Data_Tables.md,https://490d.com/source/490d-unified-chronology/File_18.Chronological_Data_Tables.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live. File_56 §6C.1 phase-anchor amendment applied July 2026; focused pressure test pending.,Final; see in-file Status line
File_19,File_19.Hezekiah_Prophetic_Complex.md,The Hezekiah Prophetic Complex,The Hezekiah Prophetic Complex,/file-19-hezekiah-prophetic-complex/,File_19.Hezekiah_Prophetic_Complex.md,https://490d.com/source/490d-unified-chronology/File_19.Hezekiah_Prophetic_Complex.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_20,File_20.Jubilees_Fourth_Witness.md,The Book of Jubilees as Fourth Chronological Witness,The Book of Jubilees as Fourth Chronological Witness,/file-20-jubilees-fourth-witness/,File_20.Jubilees_Fourth_Witness.md,https://490d.com/source/490d-unified-chronology/File_20.Jubilees_Fourth_Witness.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_21,File_21.SKL_Unified_Protocol.md,SKL Unified Protocol,SKL Unified Protocol,/file-21-skl-unified-protocol/,File_21.SKL_Unified_Protocol.md,https://490d.com/source/490d-unified-chronology/File_21.SKL_Unified_Protocol.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_22,File_22.Cumulative_MT_Harmonics.md,Cumulative MT Harmonics,Cumulative MT Harmonics,/file-22-cumulative-mt-harmonics/,File_22.Cumulative_MT_Harmonics.md,https://490d.com/source/490d-unified-chronology/File_22.Cumulative_MT_Harmonics.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_23,File_23.Tebah_Protocol_Source_of_3_5.md,The Tebah Protocol — The Source of the 3.5,The Tebah Protocol — The Source of the 3.5,/file-23-tebah-protocol-source-of-3-5/,File_23.Tebah_Protocol_Source_of_3_5.md,https://490d.com/source/490d-unified-chronology/File_23.Tebah_Protocol_Source_of_3_5.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_24,File_24.Kish_Dynasty_Cipher_En_Tarah_Ana_23_Kings.md,The First Dynasty of Kish Cipher — The En-Tarah-Ana Bridge and the 23 Kings Arrangement,The First Dynasty of Kish Cipher — The En-Tarah-Ana Bridge and the 23 Kings Arrangement,/file-24-kish-dynasty-cipher-en-tarah-ana-23-kings/,File_24.Kish_Dynasty_Cipher_En_Tarah_Ana_23_Kings.md,https://490d.com/source/490d-unified-chronology/File_24.Kish_Dynasty_Cipher_En_Tarah_Ana_23_Kings.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_25,File_25.Law_of_Decimal_Invariance.md,The Law of Decimal Invariance,The Law of Decimal Invariance,/file-25-law-of-decimal-invariance/,File_25.Law_of_Decimal_Invariance.md,https://490d.com/source/490d-unified-chronology/File_25.Law_of_Decimal_Invariance.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_26,File_26.Precessional_Bridge_430_432_Shift.md,The Precessional Bridge — The 430/432 Shift from 18726 BC,The Precessional Bridge — The 430/432 Shift from 18726 BC,/file-26-precessional-bridge-430-432-shift/,File_26.Precessional_Bridge_430_432_Shift.md,https://490d.com/source/490d-unified-chronology/File_26.Precessional_Bridge_430_432_Shift.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_27,File_27.Cosmic_Gestation.md,The Cosmic Gestation,The Cosmic Gestation,/file-27-cosmic-gestation/,File_27.Cosmic_Gestation.md,https://490d.com/source/490d-unified-chronology/File_27.Cosmic_Gestation.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_28,File_28.Deleted_Placeholder_Remainder_Protocol.md,Deleted Placeholder — The Remainder Protocol,Deleted Placeholder — The Remainder Protocol,/file-28-deleted-placeholder-remainder-protocol/,File_28.Deleted_Placeholder_Remainder_Protocol.md,https://490d.com/source/490d-unified-chronology/File_28.Deleted_Placeholder_Remainder_Protocol.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_29,File_29.Reconciliation_Fractal.md,The Reconciliation Fractal,The Reconciliation Fractal,/file-29-reconciliation-fractal/,File_29.Reconciliation_Fractal.md,https://490d.com/source/490d-unified-chronology/File_29.Reconciliation_Fractal.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_30,File_30.Alpha_Omega_Link_4900_4300_Master_Cycle.md,The Alpha-Omega Link — The 4900/4300 Master Cycle,The Alpha-Omega Link — The 4900/4300 Master Cycle,/file-30-alpha-omega-link-4900-4300-master-cycle/,File_30.Alpha_Omega_Link_4900_4300_Master_Cycle.md,https://490d.com/source/490d-unified-chronology/File_30.Alpha_Omega_Link_4900_4300_Master_Cycle.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_31,File_31.Rod_of_Enoch.md,The Rod of Enoch,The Rod of Enoch,/file-31-rod-of-enoch/,File_31.Rod_of_Enoch.md,https://490d.com/source/490d-unified-chronology/File_31.Rod_of_Enoch.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_32,File_32.Prime_Harmonic.md,The Prime Harmonic,The Prime Harmonic,/file-32-prime-harmonic/,File_32.Prime_Harmonic.md,https://490d.com/source/490d-unified-chronology/File_32.Prime_Harmonic.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_33,File_33.Ordinal_Lock.md,The Ordinal Lock,The Ordinal Lock,/file-33-ordinal-lock/,File_33.Ordinal_Lock.md,https://490d.com/source/490d-unified-chronology/File_33.Ordinal_Lock.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
File_34,File_34.Unified_Chronology_SKL_Berossus_Bible.md,"The Unified Chronology — Integrating Berossus, Sumer, and the Bible","The Unified Chronology — Integrating Berossus, Sumer, and the Bible",/file-34-unified-chronology-skl-berossus-bible/,File_34.Unified_Chronology_SKL_Berossus_Bible.md,https://490d.com/source/490d-unified-chronology/File_34.Unified_Chronology_SKL_Berossus_Bible.md,Raw Markdown linked,TBD,Repository_Change_Archive,Public-clean source; trust-status equalized; raw Markdown URL live; WordPress landing page live.,Final; see in-file Status line
